AAPL, AVB, AMD, CCC, BA, BLL, C, INTC, GPS, MMM, T, TJX
  1.375188, 25.286036,  9.810000,  7.761880, 30.118322,  4.569384,289.993378, 15.052548, 11.393151, 42.932690, 14.791405,  8.843777
  1.291649, 24.644535,  9.600000,  7.716490, 29.956322,  4.400387,284.334839, 14.559924, 10.788403, 43.488144, 14.420049,  8.390684
  1.082801, 25.077549,  8.040000,  7.217187, 30.266256,  4.729712,281.505798, 12.815194, 10.646548, 42.780876, 14.026330,  8.281603
  1.138708, 24.965284,  9.720000,  7.625707, 31.696085,  4.493553,274.079071, 12.500463, 10.601754, 42.435875, 13.646026,  8.227066
  1.204254, 24.797281,  9.340000,  7.471378, 31.696085,  4.717795,279.737305, 13.369404, 10.743607, 44.806065, 14.182925,  8.495566
  1.125213, 23.874855,  9.100000,  6.808667, 28.279955,  4.455637,257.103973, 12.308884, 10.258313, 41.701008, 13.261256,  7.983737
  0.961347, 22.898153,  8.490000,  6.681573, 28.117949,  3.856567,254.628235, 12.760460,  9.071219, 37.564365, 12.039463,  7.014610
  0.921505, 22.979538,  7.820000,  6.218583, 29.583008,  4.295306,217.424316, 12.185725,  9.108546, 41.694107, 11.845425,  7.476103
  0.928574, 24.010498,  7.310000,  5.737436, 28.068655,  4.625714,218.414444, 11.433096,  8.399279, 41.356007, 11.958241,  7.262136
  0.963917, 24.064754,  8.830000,  5.728359, 28.878658,  5.116452,243.984268, 12.219934,  8.339549, 43.522652, 12.165814,  7.572589
  1.015969, 24.417458,  9.930000,  6.201815, 26.413403,  5.065536,248.179916, 12.844256,  8.705382, 43.670990, 12.946486,  8.746134
  1.010828, 24.048487,  9.670000,  5.837003, 26.272766,  5.034121,241.779892, 12.303085,  8.735249, 43.567493, 11.867986,  8.300632
  0.947852, 24.553112,  8.850000,  5.472189, 26.230312,  5.395945,249.742737, 11.419397,  8.757644, 43.317001, 11.164028,  8.313241
  0.924075, 24.390333,  8.040000,  5.554273, 26.329361,  5.833947,230.907150, 11.111136,  9.795424, 42.512730, 10.830104,  8.582221
  0.910581, 24.173283,  7.210000,  5.463069, 25.176003,  5.850226,224.043961, 10.980982,  9.317598, 41.542023, 11.078287,  8.678886
  0.955563, 23.603540,  6.400000,  5.043535, 25.812822,  5.553916,204.598419, 10.206899,  9.265332, 41.413776, 10.469100,  8.447732
  0.945924, 22.681108,  5.740000,  5.198580, 24.553318,  5.525696,221.298752, 10.015094,  8.645936, 39.018242,  9.092772,  7.628172
  0.901584, 22.418423,  3.510000,  5.061776, 22.649912,  5.268459,213.367981,  9.391717,  7.045393, 39.694256,  9.756116,  7.090209
  0.932429, 21.364801,  3.760000,  5.371866, 22.642832,  5.370486,231.822250, 10.426109,  7.239852, 41.808983, 10.130657,  7.628172
  0.921505, 21.044851,  4.400000,  4.779046, 20.520067,  5.527868,266.748108,  9.905492,  7.890544, 43.441811, 11.542361,  8.145125
  0.990907, 20.923492,  6.090000,  4.532797, 21.454088,  5.362888,272.238739, 11.364590,  8.511315, 44.280769, 11.414361,  8.695699
  1.051313, 20.989687,  6.510000,  4.012940, 21.510693,  5.310788,287.108856, 12.535989,  9.311586, 44.391697, 12.456606,  8.863811
  1.017897, 21.397902,  6.100000,  4.514556, 23.477779,  5.100224,282.532288, 12.433236,  9.835127, 44.474888, 12.438320,  8.767149
  1.024965, 21.265497,  6.480000,  4.691621, 22.289036,  5.201164,282.762177, 12.892242, 11.084156, 44.894375, 11.514931,  8.447513
  1.028821, 21.955044,  6.860000,  4.856883, 24.187887,  5.258693,295.329285, 13.749439, 11.069198, 44.974113, 12.593740,  8.266526
  0.996048, 21.844721,  9.000000,  4.572264, 24.223459,  5.370486,297.934784, 14.318617, 11.884424, 45.234783, 13.028012,  8.237062
  0.960704, 21.872299,  8.110000,  4.700802, 23.761042,  5.298057,287.819794, 12.830520, 11.615177, 43.928444, 12.081763,  8.249687
  0.950422, 21.408932,  7.320000,  4.076476, 22.338223,  5.403538,275.865509, 12.055620, 11.758747, 42.420021, 11.770919,  8.304409
  0.908653, 21.072437,  6.620000,  4.590627, 23.270176,  5.480747,292.264191, 11.664736, 11.871093, 43.242146, 12.895443,  8.662172
  0.903512, 21.293097,  6.350000,  4.498815, 22.999840,  5.464434,269.505310, 11.246423, 10.904930, 42.270222, 12.470321,  8.144465
  0.957491, 22.446085,  6.940000,  4.608989, 24.315948,  5.770010,276.708435, 11.342427, 11.683853, 43.987659, 13.201717,  8.300200
  0.945924, 22.007948,  7.410000,  5.141501, 24.081171,  5.634078,287.053528, 11.945893, 11.773728, 44.109570, 13.165151,  8.514856
  0.906082, 20.974392,  6.030000,  5.600564, 23.682798,  5.740647,281.995850, 11.205276, 11.099659, 44.005062, 12.582520,  8.270734
  0.886804, 20.502554,  5.430000,  5.508752, 22.060778,  5.574267,274.256348, 10.869256, 11.002296, 44.015522, 11.318732,  8.022402
  0.922790, 20.671070,  5.240000,  5.508752, 22.473396,  5.709113,263.221558, 10.738963, 10.957355, 43.388466, 11.272606,  7.727772
  0.909295, 20.305956,  5.040000,  5.049690, 21.342253,  5.711288,253.613739, 10.320651, 11.406734, 42.667362, 11.613918,  7.239525
  0.942711, 20.109350,  5.100000,  4.911971, 21.566317,  5.703672,250.762558, 11.089161, 11.219491, 43.576572, 10.769859,  7.251189
  0.963917, 20.676687,  5.390000,  5.270039, 21.201519,  5.766747,255.848679, 11.528611, 11.212007, 44.189693,  9.561423,  6.994024
